"firstyear","lastyear","prob_noisy"
1989,1989,1.85596543997527e-05
1989,1990,0.00113716112717185
1989,1991,0.00178219615367461
1989,1992,0.00200622365420516
1989,1993,0.00190098394946906
1989,1994,0.00210539080076599
1989,1995,0.00125242433162832
1989,1996,0.00148738498108462
1989,1997,0.00119147629191504
1989,1998,0.000610407058831093
1989,1999,0.000681696774451325
1989,2000,0.0113346610602481
1990,1990,3.63426487119613e-06
1990,1991,0.000993779431653624
1990,1992,0.00268175863959093
1990,1993,0.00240305762782355
1990,1994,0.00182455388643652
1990,1995,0.00137445500496092
1990,1996,0.00200217425638405
1990,1997,0.00115236527450223
1990,1998,0.000838783091048243
1990,1999,0.000916582202892833
1990,2000,0.0116001813069456
1991,1991,2.57863009807206e-07
1991,1992,0.00174127564170425
1991,1993,0.00341844410350892
1991,1994,0.0022803448592777
1991,1995,0.00217531708025676
1991,1996,0.00189392151360931
1991,1997,0.00155885007986515
1991,1998,0.00101685938268139
1991,1999,0.000789171422532178
1991,2000,0.014563023875015
1992,1992,0
1992,1993,0.00334960937306586
1992,1994,0.00333284273866242
1992,1995,0.00242724384754639
1992,1996,0.00213289914492294
1992,1997,0.00191423601405225
1992,1998,0.00132290870244429
1992,1999,0.000970247626470621
1992,2000,0.0153920245695409
1993,1993,0
1993,1994,0.00270308913711671
1993,1995,0.00360191555740274
1993,1996,0.00326058677917978
1993,1997,0.00229292228911483
1993,1998,0.0017943900895552
1993,1999,0.00173084766449507
1993,2000,0.0180839372029508
1994,1994,2.1147462253019e-06
1994,1995,0.00270652241526408
1994,1996,0.00377319704345578
1994,1997,0.0030737870098916
1994,1998,0.00251411275851514
1994,1999,0.00169237326693428
1994,2000,0.0201538860975709
1995,1995,3.64910627997938e-06
1995,1996,0.00308564811045213
1995,1997,0.00372769320626498
1995,1998,0.0031747229655151
1995,1999,0.00268579797958722
1995,2000,0.0220642991434815
1996,1996,0
1996,1997,0.00296997656074874
1996,1998,0.00499305361977564
1996,1999,0.00317266413737394
1996,2000,0.0239334707282983
1997,1997,0
1997,1998,0.00381177576826836
1997,1999,0.00451630395118638
1997,2000,0.0301809754671729
1998,1998,0
1998,1999,0.00427628184204206
1998,2000,0.0341850523688091
1999,1999,0
1999,2000,0.0373557513624742
2000,2000,0.0398651170887293
